Date,Close,Volume
02-01-2015,38.0061,6906098
05-01-2015,37.2781,11623796
06-01-2015,36.9748,7664340
07-01-2015,37.8848,9732554
08-01-2015,38.4961,13170548
09-01-2015,37.2361,27556706
12-01-2015,37.4415,10021486
13-01-2015,37.7401,11040702
14-01-2015,37.5301,9295084
15-01-2015,37.1381,8126602
16-01-2015,37.6188,9015502
20-01-2015,37.9058,10738304
21-01-2015,37.9361,10844182
22-01-2015,38.6128,23913056
23-01-2015,41.1702,38107194
26-01-2015,41.1235,14098574
27-01-2015,41.2262,10995808
28-01-2015,40.8645,11963202
29-01-2015,41.5575,12475860
30-01-2015,40.8482,10070456
02-02-2015,41.0629,13638832
03-02-2015,41.4469,9252426
04-02-2015,41.5453,11496698
05-02-2015,41.9856,7598672
06-02-2015,41.6858,7835332
09-02-2015,41.6015,6911614
10-02-2015,42.7069,12469500
11-02-2015,42.5242,6466910
12-02-2015,43.009,7197558
13-02-2015,42.8942,6109522
17-02-2015,43.105,6386900
18-02-2015,43.5593,6541986
19-02-2015,43.639,6109176
20-02-2015,43.7982,6462662
23-02-2015,43.831,5854572
24-02-2015,43.7701,6337888
25-02-2015,44.1495,8120660
26-02-2015,44.2853,6816352
27-02-2015,43.7865,8658404
02-03-2015,44.1331,7947018
03-03-2015,44.0277,7578374
04-03-2015,43.5874,7774534
05-03-2015,43.8544,5848750
06-03-2015,43.1917,6814414
09-03-2015,43.5781,5984880
10-03-2015,43.1753,6076984
11-03-2015,42.8193,8185894
12-03-2015,43.7373,7295344
13-03-2015,43.6952,5835252
16-03-2015,44.0488,6772606
17-03-2015,44.208,5508796
18-03-2015,44.8895,15429928
19-03-2015,45.7888,22020618
20-03-2015,45.6483,17360612
23-03-2015,45.6062,7985986
24-03-2015,45.8614,7718488
25-03-2015,44.8567,9907170
26-03-2015,44.5336,10344304
27-03-2015,44.5289,7993350
30-03-2015,44.9551,6830270
31-03-2015,44.3556,8717754
01-04-2015,43.5687,14125350
02-04-2015,44.2104,8863018
06-04-2015,44.2713,6058894
07-04-2015,44.0605,5354670
08-04-2015,44.6038,6827888
09-04-2015,44.927,7109621
10-04-2015,45.1237,6643106
13-04-2015,45.4329,8171030
14-04-2015,45.2455,5952424
15-04-2015,45.0956,5162169
16-04-2015,45.194,5312499
17-04-2015,44.6085,7539865
20-04-2015,44.9364,4868425
21-04-2015,45.3111,6213360
22-04-2015,45.2783,7248119
23-04-2015,46.304,15866051
24-04-2015,48.5616,22284881
27-04-2015,47.653,11222608
28-04-2015,47.4094,8882901
29-04-2015,47.4469,7161992
30-04-2015,46.4446,8492048
01-05-2015,47.1097,5916509
04-05-2015,47.2549,7493420
05-05-2015,46.4279,10691207
06-05-2015,45.9815,8033489
07-05-2015,46.3762,5681417
08-05-2015,46.7803,6039840
11-05-2015,46.5172,5047180
12-05-2015,46.7145,5868552
13-05-2015,46.6017,4927094
14-05-2015,47.5086,7339742
15-05-2015,47.7388,6016694
18-05-2015,48.0959,8999761
19-05-2015,48.3215,6976052
20-05-2015,47.955,5644662
21-05-2015,48.2369,5084042
22-05-2015,48.3779,5857672
26-05-2015,47.7764,7369923
27-05-2015,48.4812,6213573
28-05-2015,48.688,5874382
29-05-2015,48.8289,9399112
01-06-2015,49.0733,7075082
02-06-2015,48.6128,7877799
03-06-2015,48.9793,5522702
04-06-2015,48.6034,6230805
05-06-2015,49.0451,7123248
08-06-2015,48.4248,6320181
09-06-2015,48.4342,5034038
10-06-2015,49.5149,8003611
11-06-2015,49.327,6030167
12-06-2015,49.4586,5236747
15-06-2015,49.1203,5554964
16-06-2015,49.7734,6106529
17-06-2015,50.0318,6735294
18-06-2015,50.8494,10712142
